entity_name,aliases,entity_class,formation_jurisdiction,ohio_entity_number,status,ohio_or_property_address,parcel_or_property,epstein_role_or_nexus,wexner_role_or_nexus,date_range,verification_status,removal_or_exit_status,priority,key_evidence_refs,notes
"VILLAGE ACRES, INC.",,Ohio corporation / candidate property vehicle,Ohio,720365,dissolved,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, Ohio 43215",No deed or parcel verified in this filing-history review,Not named in complete live exact-charter filing history,Not named in complete live exact-charter filing history,1988-03-09 to 1988-12-28,primary Ohio filing images confirmed; property identity unverified,Dissolved 1988-12-28; no merger or asset recipient identified,candidate,G343_0259;G532_1240;FINDING:14586;OH-SOS:728764:G532_0974,"Acres in the name supports a recorder search but does not prove landholding. Sole shareholder unnamed; no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Bluffton Holding Corporation,Bluffton Holding Corp.,Ohio corporation / verified merger predecessor and holding-property lead,Ohio,724612,dead / merged out,"41 S High St., Suite 2300, Columbus; MEX status returned to 5906 E Dublin-Granville Rd., New Albany",No parcel or deed verified,No Epstein role appears in the available exact-charter or merger packets,New Albany Company received processing correspondence but was not a named merger constituent,1988-1995,primary available Ohio images and substantive merger certificate confirmed; two history images unavailable,Merged into Eastern Ohio Holding Company 1995-12-29,successor-aware property pivot,G379_0198;5422_1190;5422_1200;FINDING:14585;FINDING:14646,"Holding-name signal is not title evidence. Search Bluffton through the merger date and Eastern Ohio afterward."
Diamond Development Company,Diamond Development Co.,Ohio corporation / development-name candidate,Ohio,724613,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G379_0205;G532_1024;FINDING:14585;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Doncaster Development, Inc.",Doncaster Development Inc.,Ohio corporation / development-name candidate,Ohio,724614,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G379_0211;G532_1030;FINDING:14585;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Farmington Developers, Inc.",Farmington Developers Inc.,Ohio corporation / development-name candidate,Ohio,724616,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G379_0223;G532_1042;FINDING:14585;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Melleric Corporation,Melleric Corp.,Ohio corporation / administrative candidate,Ohio,724619,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G379_0241;G532_1138;FINDING:14585;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Union Holding Corporation,Union Holding Corp.,Ohio corporation / verified merger predecessor and holding-property lead,Ohio,724621,dead / merged out,"41 S High St., Suite 2300, Columbus; MEX status returned to 5906 E Dublin-Granville Rd., New Albany",No parcel or deed verified,No Epstein role appears in the available exact-charter or merger packets,New Albany Company received processing correspondence but was not a named merger constituent,1988-1995,primary available Ohio images and substantive merger certificate confirmed; two history images unavailable,Merged into Eastern Ohio Holding Company 1995-12-29,successor-aware property pivot,G379_0253;5422_1190;5422_1206;FINDING:14585;FINDING:14646,"Holding-name signal is not title evidence. Search Union through the merger date and Eastern Ohio afterward."
Jetner Corporation,Jetner Corp.,Ohio corporation / administrative-batch candidate,Ohio,731360,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH 43215",No parcel or deed verified; SOS packets identify none and official Franklin property source is not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G456_0331;G532_1114;FINDING:14587;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Mentin Products, Inc.",Mentin Products Inc.; Mentin Products,Ohio corporation / administrative-batch candidate,Ohio,731361,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH 43215",No parcel or deed verified; SOS packets identify none and official Franklin property source is not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G456_0338;G532_1144;FINDING:14587;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Chatten Marketing Company,Chatten Marketing Co.; Chatten Marketing,Ohio corporation / administrative-batch candidate,Ohio,731362,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH 43215",No parcel or deed verified; SOS packets identify none and official Franklin property source is not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G456_0344;G532_1006;FINDING:14587;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Fantel Products Company,Fantel Products Co.; Fantel Products,Ohio corporation / administrative-batch candidate,Ohio,731363,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH 43215",No parcel or deed verified; SOS packets identify none and official Franklin property source is not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded recorder follow-up,G456_0350;G532_1036;FINDING:14587;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Indico Investments, Inc.",Indico Investments Inc.; Indico Investments,Ohio corporation / investment-name property-vehicle candidate,Ohio,731365,dead / dissolved,"41 S High St., Suite 2300 and 23rd Floor, Columbus, OH 43215",No parcel or deed verified; SOS packets identify none and official Franklin property source is not integrated,No Epstein role appears in the exact articles or dissolution packet,No Wexner role appears in the exact articles or dissolution packet,1988,primary Ohio filing images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,higher-priority recorder follow-up,G456_0362;G532_1102;FINDING:14587;OH-SOS:728764:G532_0974,"Investments is a triage signal, not proof of assets or property. The no-personal-property affidavit does not address real estate. Shared counsel and dates establish only an administrative cluster. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"London Kitchens, Inc.",London Kitchens Inc.; Ohio 686610,Ohio corporation / cabinetry retailer,Ohio,686610,cancelled,"Principal office Columbus, Franklin County; agent at 41 S High St., Columbus",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the available articles packet,No Wexner role appears in the available articles packet,1986-1991,primary available Ohio image confirmed; terminal image unavailable,Tax Department cancellation 1991-12-16; row image unavailable,bounded recorder follow-up,G015_1204; 000000061029; FINDING:14588,Brown was incorporator and Snow agent; the packet does not establish Snow ownership or an officer role.
"London Kitchens Insurance Agency, Inc.",London Kitchens Insurance Agency Inc.; Ohio 706947,Ohio corporation / insurance agency,Ohio,706947,dead / dissolved,"3910 Groves Rd., Columbus principal office; agent at 41 S High St., Columbus",No parcel or deed verified; principal-office address is not title evidence,No Epstein role appears in the complete exact-charter packets,No Wexner role appears in the complete exact-charter packets,1987-1989,primary Ohio articles and dissolution images confirmed,Dissolved by sole incorporator 1989-05-31,bounded recorder follow-up,G222_0344; G636_0276; FINDING:14588,Parker was incorporator and Snow statutory agent. The dissolution form's alternative statutory grounds do not identify which prong applied.
First Columbus Land Company,First Columbus Land Co.; Ohio 785297,Ohio corporation / land-name property candidate,Ohio,785297,cancelled,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; official Franklin property source not integrated,No Epstein role appears in the available formation packet,No Wexner role appears in the available formation packet,1990-1993,primary formation image confirmed; two later rows unavailable,Tax Department cancellation 1993-12-15; terminal image unavailable,high-priority exact-name property search,H016_0917; 000000695996; 000000695997; FINDING:14588,"Hipsher was incorporator and Snow original agent. Land in the name is a lead, not title evidence."
BREWHO! LLC,Brewho LLC; Ohio 993710,Ohio domestic LLC / primary filing unavailable,Ohio,993710,active,No address available from reviewed portal metadata,Unassessed; organization filing image unavailable,Unassessed; organization filing image unavailable,Unassessed; organization filing image unavailable,1997-present portal status,live portal metadata confirmed; exact image endpoint HTTP 404,Active; no terminal row,request primary organization record,6162_0568; FINDING:14588,"Do not code the unavailable packet as a negative person, owner, or property result."
"Oakfield Enterprises, Inc.",Oakfield Enterprises Inc.,Ohio corporation / generic-name property lead,Ohio,713924,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1987-12-11 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,routine property-record follow-up,G288_0306;G532_1168;FINDING:14589;OH-SOS:728764:G532_0974,"The dissolution's no-personal-property affidavit does not address real estate. Shared counsel, template, and dates do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Wildwood Acres, Inc.",Wildwood Acres Inc.,Ohio corporation / acreage-name property lead,Ohio,713926,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1987-12-11 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G288_0318;G532_1252;FINDING:14589;OH-SOS:728764:G532_0974,"The acreage signal is a search lead, not proof of land ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Cristah Corporation,Cristah Corp.,Ohio corporation / generic-name property lead,Ohio,733246,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-09-23 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,routine property-record follow-up,G472_1825;G532_1018;FINDING:14589;OH-SOS:728764:G532_0974,"Primary packets identify CRISTAH CORPORATION; they do not validate Cristah Development Corporation as an alias. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Rettlin Investment Company,Rettlin Investment Co.,Ohio corporation / investment-name property lead,Ohio,733247,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-09-23 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G472_1832;G532_1198;FINDING:14589;OH-SOS:728764:G532_0974,"Primary packets identify RETTLIN INVESTMENT COMPANY; they do not validate Rettlin Investment Corporation as an alias. The investment signal is not proof of property ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Wheaton Company,Wheaton Co.,Ohio corporation / general property-record lead,Ohio,728763,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-07-15 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G423_1517;G532_1246;G532_0974 p.7;FINDING:14590;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. The Argotron cover letter proves a common 46-company filing batch, not ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Argotron Corporation,Argotron Corp.,Ohio corporation / general property-record lead,Ohio,728764,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-07-15 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G423_1524;G532_0974;FINDING:14590;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. Page 7 proves a common 46-company filing batch, not ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Mackinaw Marketing Co.,Mackinaw Marketing Company; Mackinaw Marketing Co,Ohio corporation / operational-name property-record lead,Ohio,728766,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-07-15 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G423_1536;G532_1126;G532_0974 p.7;FINDING:14590;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. The Argotron cover letter proves a common 46-company filing batch, not ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Scripton Products, Inc.",Scripton Products Inc.; Scripton Products,Ohio corporation / operational-name property-record lead,Ohio,728768,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-07-15 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G423_1548;G532_1228;G532_0974 p.7;FINDING:14590;OH-SOS:728764:G532_0974,"The no-personal-property affidavit does not address real estate. The Argotron cover letter proves a common 46-company filing batch, not ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Urban Improvement of Columbus, Inc.",Urban Improvement of Columbus Inc.,Ohio nonprofit corporation / explicit property-holding and club-purpose lead,Ohio,364648,permanently cancelled; failure-to-file cancellation 1999-03-15,"Principal office: Columbus, Franklin County; agent/counsel addresses: 2367 Brentwood Rd.; 37 W. Broad St.; 41 S. High St., Suite 3710, Columbus","No parcel or deed identified; 1967 articles expressly authorize holding title and interests in real and personal property, and 1989 amendment states a club purpose",No Epstein role appears in 28 available filing pages,No Wexner role appears in 28 available filing pages,1967-09-21 to permanent cancellation 2025-11-05,complete live history enumerated; 9 unique packets/28 pages reviewed; 4 no-image rows and 1 embedded source-error page,Cancelled 1999-03-15 for failure to file continued existence; portal records permanent cancellation 2025-11-05,high property-purpose follow-up,B521_2010; G575_1397; G575_1404; 9458_0560; 199907400518;FINDING:14591,"The purpose clauses justify a recorder/auditor search but identify no specific club, land, parcel, deed, owner, or beneficiary. Snow's reviewed role is statutory agent only."
"Blacksheep Farms, Inc.","Blacksheep Farms Inc.; Black Sheep Farms",Ohio corporation / verified merger predecessor and farm-name property lead,Ohio,713613,dead / merged out,"Principal office: Dublin, Franklin County; original agent: 475 Metro Place North, Suite 200, Dublin; Snow/SKWR: 41 S. High St., Suite 2300; MEX return: 5906 E. Dublin-Granville Rd., New Albany","No parcel, deed, farm, acreage, or property address identified in the corporate packets; later recorder instruments use Black Sheep spelling",No Epstein role appears in the available exact-charter or merger pages,No Wexner role appears in the available exact-charter or merger pages,1987-12-07 to 1995-12-29,"complete live history enumerated; available images and substantive merger certificate reviewed",Merged into Eastern Ohio Holding Company 1995-12-29; two continued-existence rows unavailable,successor-aware property pivot,G285_0677;H703_1584;5422_1190;5422_1221;FINDING:14592;FINDING:14646,"The merger certificate spells Blacksheep as one word. Search that name through the merger date, Eastern Ohio afterward, and Black Sheep variants in later deeds."
Wesleyan Conservation Corp.,Wesleyan Conservation Corporation,Ohio corporation / conservation-name property and network-person lead,Ohio,769248,active,"Principal office: Columbus, Franklin County; original agent: CT Corporation System, Carew Tower, Cincinnati; Snow/SKWR: 41 S. High St., Suite 2300, Columbus","No parcel, deed, conservation land, easement, or specific property identified in the packets","No Jeffrey Epstein role appears; the 1994 filing names a different person, Jeffrey J. Smith, as vice president and secretary",No Wexner role appears in 11 available filing pages,1990-03-21 to present portal-active status,complete live history enumerated; articles and 1994 agent appointment reviewed; two 1993 continued-existence rows unavailable,Active; last available filing appoints Snow as statutory agent on 1994-05-17,high network-person and property-name follow-up,G825_1992; 4132_0290;FINDING:14592,"Formation used Porter, Wright, Morris & Arthur and CT Corporation System; the 1994 appointment shifted the statutory-agent route to Snow c/o SKWR and was signed by Jeffrey J. Smith. The name alone does not prove conservation-property ownership."
"Snowberry Hills, Inc.",Snowberry Hills Inc.,Ohio corporation / hills-name property and verified merger-successor lead,Ohio,713925,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-07 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G288_0312; G774_0107; G774_0167;FINDING:14594,"Hills is a search signal, not proof of landholding. The sole shareholder is unnamed. The party-specific MEX stub does not name the survivor; G774_0107 supplies the survivor and statutory asset-vesting rule."
"Briarpatch Fields, Inc.",Briarpatch Fields Inc.,Ohio corporation / fields-name property and verified merger-successor lead,Ohio,713843,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-10 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G287_0753; G774_0107; G774_0119;FINDING:14594,"Fields is a search signal, not proof of landholding. The sole shareholder is unnamed. Common counsel and dates establish administration, not beneficial ownership."
"Candleberry Cove, Inc.",Candleberry Cove Inc.,Ohio corporation / cove-name property and verified merger-successor lead,Ohio,713838,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-10 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G287_0722; G774_0107; G774_0125;FINDING:14594,"Cove is a search signal, not proof of landholding. The Len Loraditch correspondence cover is a counsel clue only. The sole shareholder is unnamed."
"Frontier Traders, Inc.",Frontier Traders Inc.,Ohio corporation / verified merger-successor lead,Ohio,713922,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-11 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,successor-aware recorder follow-up,G288_0294; G774_0107; G774_0137;FINDING:14594,The filings state only a generic lawful purpose and identify no property. The sole shareholder is unnamed. Shared administration does not prove ownership.
"Kitzmiller Properties, Inc.",Kitzmiller Properties Inc.,Ohio corporation / properties-name and verified merger-successor lead,Ohio,713923,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-11 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G288_0300; G774_0107; G774_0143;FINDING:14594,"Properties is a search signal, not proof of landholding. The sole shareholder is unnamed. The merger agreement, not the status-only stub, supplies the survivor edge."
"Blacklick Properties, Inc.",Blacklick Properties Inc.,Ohio corporation / place-and-properties-name and verified merger-successor lead,Ohio,710873,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1987-12-14 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G290_1418; G774_0107; G774_0116;FINDING:14594,Blacklick/Properties is a strong recorder-search signal but not title evidence. The sole shareholder is unnamed. The party-specific MEX stub confirms status but does not independently name Architonics.
Villa Development Corp.,Villa Development Corp,Ohio corporation / development-name property and verified merger-successor lead,Ohio,720364,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-03-09 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G343_0252; G774_0107; G774_0182;FINDING:14598,"Development is a property-search signal, not proof that the corporation owned land. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
Donner Development Company,Donner Development Co.,Ohio corporation / development-name property and verified merger-successor lead,Ohio,724615,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-05-13 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G379_0217; G774_0107; G774_0134;FINDING:14598,"Development is a property-search signal, not proof that the corporation owned land. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
"Summit Holding, Inc.",Summit Holding Inc.,Ohio corporation / holding-company and verified merger-successor lead,Ohio,724620,dead / merged out,"Principal office: Columbus, Franklin County; Snow/SKWR agent address: 41 S. High St., Suite 2300, Columbus, OH 43215",No parcel or deed identified; search predecessor through 1989-12-22 and Architonics afterward,No Epstein role appears in the complete exact-charter history or substantive merger instrument,No Wexner role appears in the complete exact-charter history or substantive merger instrument,1988-05-13 to 1989-12-22,complete exact live Ohio filing history plus primary merger agreement confirmed; property records not searched,Merged into Architonics 1989-12-22; separate existence ceased and any property vested in the survivor,high successor-aware property follow-up,G379_0247; G774_0107; G774_0173;FINDING:14598,"Holding is a vehicle-search signal, not proof of an asset, subsidiary, or beneficial owner. The sole shareholder named in the Architonics agreement is not identified. The party-specific MEX stub does not name the survivor; G774_0107 supplies that edge. Common counsel, dates, and templates do not establish beneficial ownership."
