name,category,flags,clean_pages,total_pages,noise_pct,findings_exact,findings_text,variants
Eva Andersson,,,248,248,0.0,0,9,Eva Andersson; EVA ANDERSSON; Eva Anderssen; Evan Anderson
Mark Zeff,,,248,251,1.2,0,0,Mark Zeff; Mark Lewis Zeff; mark zeff; MARK ZEFF
Yoonsun Chung,,,248,248,0.0,0,0,Yoonsun Chung; YoonSun Chung; yoonsun.chung
Hillary Clinton,,,246,311,20.9,1,23,Hillary Clinton; Hilary Clinton; Hillary R. Clinton; Hill=ry Clinton
"Giuffrida, David J",,,245,245,0.0,0,1,"David J Giuffrida; Giuffrida, David J; David J. Giuffrida; David Giuffrida"
Etienne Binant,,,244,244,0.0,0,3,Etienne Binant; Etienne BINANT; Etienne Pierre Jean Binant; ETIENNE BINANT
Harry Fisch,other,,243,243,0.0,0,0,Harry Fisch; Dr. Harry Fisch; HARRY FISCH; Dr.Harry Fisch
Delores Rubin,,,243,243,0.0,0,1,Delores Rubin; Delore s Rubin; Dolores Rubin
Stuart S. Mermelstein,associate,,241,242,0.4,0,0,"Stuart S. Mermelstein; Stuart Mermelstein; Stuart S Mermelstein; Mermelstein, Stuart S"
Karen Gordon,,,241,241,0.0,0,0,Karen Gordon; Karen L. Gordon; Karen L Gordon; KAREN GORDON
Philip Michaels,,,241,241,0.0,0,0,"Philip Michaels; Philip J. Michaels; Michaels, Philip J.; philip michaels"
Renato Lacson,,,241,244,1.2,0,0,Renato Lacson; Renato A Lacson; Renato A. Lacson; RENATO A LACSON
Michael J. Pike,,,240,240,0.0,0,0,Michael J. Pike; Michael James Pike; Michael Pike; MICHAEL J. PIKE
PEG UGLAND,,,240,242,0.8,0,2,PEG UGLAND; Peg Ugland; PEG UGLOND; Peggy Ugland
Tom McGraw,,,240,258,7.0,0,1,Tom McGraw; tom mcgraw; Tim McGraw; Tom Mcgraw
Steve Tisch,other,,239,244,2.0,0,0,Steve Tisch; steve tisch
Paul Tweed,legal,,239,239,0.0,0,0,Paul Tweed; paul tweed; Paul tweed
Adam D. Horowitz,,,239,241,0.8,0,0,Adam D. Horowitz; Adam Horowitz; Adam D Horowitz; ADAM D. HOROWITZ
robert couturier,,,239,240,0.4,0,1,robert couturier; Robert Coutrier; Robert Couturier; ROBERT COUTURIER
Gi Feather,,,238,238,0.0,0,0,Gi Feather; GI Feather
Robert Lawrence Kuhn,,,237,247,4.0,31,42,Robert Lawrence Kuhn; Rob Cain; Rob Quinn; BOB GUN
"Martin B. O'Connor, II, Esq.",,,237,240,1.2,0,0,Martin B. O'Connor II; Martin O'Connor; Martin O'Conner; Matt O'Connor
Patrick Cena,,,237,237,0.0,0,0,Patrick Cena; Patrick L. Cena; Pat & Emily Cena; PATRICK CENA
Nina Keita,other,,236,248,4.8,0,0,Nina Keita; nina keita; Nina B. Keita; Keita Nina
Anas Alrasheed,,,236,236,0.0,3,9,Anas Alrasheed; Anas Alrasheedi; Mr. Al-Roshod; anas alrasheed
Scott Graf,,,236,236,0.0,0,0,Scott Graf; Scott Graff; scott graf; scott graff
Charles Smith,,,235,236,0.4,0,0,Charles Smith; CHARLES SMITH; Charles F. Smith; Chris Smith
aziza alahmadi,,,234,234,0.0,1,15,aziza alahmadi; Aziza alahmadi; aziza alahmad; Aziza Alahmadi
Hosain Rahman,,,234,234,0.0,0,2,Hosain Rahman; hosain rahman; Hossain Rahman; Ho=ain Rahman
Nicole Perskawiec,,,234,234,0.0,0,0,Nicole Perskawiec
Keith Frankel,,,233,233,0.0,0,0,Keith Frankel; Keith Frankell; keith frankel; Keith frankle
"Lilly Ann Sanchez, Esq.",associate,,232,244,4.9,0,1,Lilly Ann Sanchez; Lili Ann Sanchez; LILLY ANN SANCHEZ; Lily Ann Sanchez
Jack Alan Goldberger,,,232,232,0.0,2,0,"Jack Alan Goldberger; JACK ALAN GOLDBERGER; Goldberger, Jack Alan; Jack Alan Goldberger, ESQ."
Julian Leese,,,232,244,4.9,0,1,Julian Leese; julian. leese; Julian Lees; julian leese
Svetlana Pozhidaev,,,232,232,0.0,0,6,Svetlana Pozhidaev; Svetlana Pozhideva; Svetlana Pozhideeva
Mary Stephens,,,231,232,0.4,0,0,Mary Stephens; Jay Stephens
Peter Mahler,,,231,236,2.1,0,0,Peter Mahler; Peter L. Mahler; peter mahler; PETER MULLER
Jeff Eps,,,230,274,16.1,0,487,Jeff Eps; Jeffrey Eps; JEFFREY E EPS; Mr. Jeffrey Eps
Richard Wurman,,,230,241,4.6,0,0,Richard Wurman; richard wurman; Richard wurman; Mr. Richard Wurman
Andres Fernandez,,,229,229,0.0,0,0,Andres Fernandez; andres Fernandez; An=res Fernandez
Margaux McGrath,,,229,229,0.0,0,0,Margaux McGrath; Margaux Mcgrath
Arline M. Toylo,other,,228,229,0.4,0,0,Arline Toylo; ARLINE MAGHIRANG TOYLO; Ar=ine Toylo; Arl=ne Toylo
jeanluc brunel,,,228,228,0.0,0,0,jeanluc brunel; Jeanluc Brunel; Jean-Luke; Jane-Luc
Ian Salters,,,228,228,0.0,0,0,Ian Salters; lan Salters
Stephen Wolfram,,,228,246,7.3,0,2,Stephen Wolfram; Steven Wolfram; STEPHEN WOLFRAM; Steve Wolfram
Marc Hauser,,,226,229,1.3,0,1,Marc Hauser; marc hauser; Marc D. Hauser; Mark Hauser
Bob Kerrey,,,224,238,5.9,0,2,Bob Kerrey; Bob Kerry; bob kerrey; Rob Kerr
Louella Rabuyo,,,223,224,0.4,0,0,Louella Rabuyo; LOUELLA RABUYO; Louelia Rabuyo; LOUGELLA RABUYO
Sean J. Lancaster,,,223,231,3.5,0,0,Sean J. Lancaster; Sean Lancaster; Sean J Lancaster; Shawn Lancaster
Cherie Quigley,,,222,222,0.0,0,1,Cherie Quigley
Eileen McDowell,,,220,220,0.0,0,0,Eileen McDowell; EILEEN MCDOWELL; Eileen McDowel; Helen Mcdowell
William-M Finn,,,220,220,0.0,0,0,William-M Finn; William Finn; William M Finn; william-m.finn
Nichole J. Segal,,,219,219,0.0,0,0,Nichole J. Segal; Nichole Johnston Segal; NICHOLE J SEGAL; NICHOLE J. SEGAL
Saida Sapieva,,,219,219,0.0,0,2,Saida Sapieva; Saida Sapiieva
Haig Ariyan,,,218,219,0.5,0,0,Haig Ariyan
Josh Ramo,,,218,234,6.8,0,3,Josh Ramo; josh ramo; josh Ramo; Josh Reimo
Adam Graev,,,217,217,0.0,0,0,Adam Graev; ADAM GRAEV
Jason Bell,,,217,217,0.0,0,0,"Jason Bell; JASON BELL; Bell, Jason A; Jason A Bell"
Pauline F Esposito,,,217,217,0.0,0,0,"Pauline F Esposito; Pauline Esposito; PAULINE F ESPOSITO; Esposito, Pauline F"
Lawrence M. =rauss,,,217,222,2.3,0,0,Lawrence M. =rauss; Lawrence M. rauss; Lawrence =rauss; Lawrence M. Rauss
Vinita Advani,,,217,217,0.0,0,0,Vinita Advani
Alex Rossmiller,,,216,218,0.9,0,2,Alex Rossmiller; ALEX ROSSMILLER; ADEX ROSSMILLER
"Collardi, Boris",,,216,216,0.0,0,1,"Boris Collardi; Collardi, Boris; Boris FJ Collardi; Coliardi, Boris"
Miroslav Lajcak,politician,,215,216,0.5,0,3,Miroslav Lajcak; Miroslav Lajčák; Miro Lajcak; Miro (Miroslav Lajcak)
Darlene Zong,,,214,214,0.0,0,0,Darlene Zong
Frédéric Chaslin,other,,213,217,1.8,1,4,Frederic Chaslin; FREDERIC CHASLIN; Frédéric Chaslin
Joy E Mitchell,,,213,213,0.0,0,0,Joy E Mitchell; Joy Mitchell; joy.e.mitchell; Baby Mitchell
Joichi (Joi) Ito,,,213,217,1.8,1,0,"Joichi (Joi) Ito; Joicho (Joi) Ito; Joichi ""Joi"" Ito; Joichi (Joi) It"
Paula Garrity,,,213,214,0.5,0,0,Paula Garrity; Paula And Pat Garrity; Paula And Pat Garrit; paula garrity
Andres Serrano,other,,212,216,1.9,0,0,Andres Serrano; andres serrano; ANDRES SERRANO
MICHAEL BUCHHOLTZ,,,211,211,0.0,0,0,MICHAEL BUCHHOLTZ; michael buchholtz; Michael S. Buchholtz; Michael S BUCHHOLTZ
Brianna Fowler,,,210,212,0.9,0,0,Brianna Fowler; Anna Fowler
aziza lahmadi,,,210,210,0.0,0,0,aziza lahmadi; aziz a lahmadi; Aziza Lahmadi; Aziza lahmadi
"EPSTEIN, JEFF",,SELF,210,211,0.5,0,19,"jeff=ey E.; Epstein, Jeff; Epstein Jeff; Jeff=ey"
Melissa Tomjanovich,,,210,210,0.0,0,0,Melissa Tomjanovich
JOHN ALESSI,,,209,209,0.0,0,1,"JOHN ALESSI; John Alessi; St. John; ALESSI, JOHN"
Edmond de Rothschild,,,208,215,3.3,15,32,Edmond de Rothschild; Edmond Rothschild
CAITLIN A. FORSYTHE,,,207,207,0.0,0,1,CAITLIN A. FORSYTHE; AITLIN A. FORSYTHE
Carolyn Rangel,,,207,207,0.0,0,0,Carolyn Rangel; Carolyn Rangell; Caroly n Rangel; Carolyn R=ngel
Rebecca Rex,,,207,207,0.0,0,0,Rebecca Rex; REBECCA REX; REX REBECCA
haakon gundersen,,,206,206,0.0,0,0,haakon gundersen; Haakon Gundersen; Hawk Gundersen; Hankon Gundersen
James Meiskin,,,206,209,1.4,0,0,James Meiskin; James Meisken; James S. Meiskin; James meisken
STEVEN D. FORSYTHE,,,206,206,0.0,0,2,STEVEN D. FORSYTHE
Barry Krischer,legal,,205,236,13.1,0,1,Barry Krischer; Barry E. Krischer; BARRY E. KRISCHER; HARRY E. KRISCHER
Glen Dubin,associate,,204,212,3.8,1,5,Glen Dubin; GLEN DUBIN; glen dubin; GLEN DUBEN
Paul Krassner,other,,204,216,5.6,0,0,paul krassner; Paul Krassner; paul krasner; Paul Krasner
Charisma Edge,,,204,206,1.0,0,0,Charisma Edge; Ms. Charisma Edge
Chi Cheung,,,203,203,0.0,0,0,Chi Cheung; CHI CHEUNG
Deborah Pechet Quinan,,,203,206,1.5,0,8,Deborah Pechet Quinan; Deborah Pechet Quinana; deborah-pechet-quinan; Deborah Pechet Quin=n
Gary Anzalone,,,203,203,0.0,0,0,Gary Anzalone; Gary P. Anzalone; Gary Anzalon; G=ry Anzalone
Jacqueline Lightbody,,,203,203,0.0,0,0,Jacqueline Lightbody
Ken Holmes,,,203,208,2.4,0,0,Ken Holmes; Katie Holmes; KAREN HOLMES; Kara Holmes
Bernard Kruger,,,202,202,0.0,0,1,Bernard Kruger; Bernard Dr. Kruger; Bernard M. Kruger; Bernard M Kruger Md
Tonja Haddad Coleman,,,202,203,0.5,0,0,Tonja Haddad Coleman; Tonija Haddad Coleman
Hugh J. Hurwitz,associate,,201,205,2.0,0,2,Hugh Hurwitz; Hugh J. Hurwitz; HUGH J. HURWITZ; Hurwitz Hugh
Michael Wood,,,201,219,8.2,0,1,Michael Wood; michael wood; Michael G. Wood; Michael White
Lesley Gron,,,199,202,1.5,0,0,Lesley Gron; Lesiey Gron
Felicia Taylor,other,,198,201,1.5,0,0,"Felicia Taylor; Taylor, Felicia; felicia taylor; FELICIA TAYLOR"
ROBERT S FORSYTHE,,,198,198,0.0,0,3,ROBERT S FORSYTHE; Robert Forsythe
Shing Tung Yau,,,198,198,0.0,0,0,"Shing Tung Yau; Shing-Tung Yau; Yau Shing-tung; Yau, Shing-Tung"
Ross Gow,,,197,201,2.0,0,0,Ross Gow; Ross Neil Sutherland Gow; Ross gow; Mr. Ross Gow
Christopher Poole,other,,196,202,3.0,0,0,Chris Poole; chris Poole; chris poole; Christopher Poole
Daniel Kahneman,,,195,201,3.0,0,2,Daniel Kahneman; Danny Kahneman; Dan Kahneman; daniel kahneman
Michel Hazanavicius,,,195,199,2.0,0,0,Michel Hazanavicius; michel hazanavicius; Michel Hazanivicious; Michel Hazanavisius
Harvey Weinstein,business,,194,228,14.9,0,12,"Harvey Weinstein; Harvey weinstein; Harvy Weinstein; Weinstein, Harvey"
Charlie Rose,celebrity,,193,203,4.9,0,5,Charlie Rose; Charlie rose; cahrilie rose; charlie rose
Robert Maxwell,intelligence,,193,261,26.1,0,1,Robert Maxwell; robert maxwell; Bob Maxwell
Donald Summer,,,193,193,0.0,0,0,Donald Summer; DONALD SUMMER; Don Summer
Eric Lander,,,193,202,4.5,0,0,Eric Lander; eric lander; Eric lander; Eric S Lander
Hind Alowais,,,193,195,1.0,0,0,Hind Alowais; Hind Alowaisi; Hind Allowais; Hind Alwais
Monique Harry,,,193,196,1.5,0,0,Monique Harry; MONIQUE HARRY; monique harry; Mo=ique Harry
Dan Dubno,,,192,193,0.5,0,1,Dan Dubno; an Dubno; =an Dubno; DAN DUBN
Alice Hargrove,,,192,192,0.0,0,0,Alice Hargrove
Daniel-E Kaiser,,,192,192,0.0,0,0,Daniel-E Kaiser; daniel kaiser
Keith Buckholz,,,192,192,0.0,0,0,Keith Buckholz
TRAVIS WAGNER,,,192,192,0.0,0,3,TRAVIS WAGNER; TRAVIS T. WAGNER; Travis Wagner
Vaishali-P Mehta,,,192,192,0.0,0,0,Vaishali-P Mehta; Vaishali Mehta; Vaishali P Mehta
Dite Anata,,,191,191,0.0,0,0,Dite Anata
Masha Dro kova,,,191,192,0.5,0,0,Masha Dro kova; Dro kova Masha
Laura Bard,,,190,191,0.5,0,0,Laura Bard; Laura Brady
Eduardo A=Robles,business,,189,189,0.0,0,0,Eduardo A Robles; Eduardo A. Robles; Eduardo Robles; ROBLES/EDUARDO A
Meghan Radden,,,189,189,0.0,0,0,Meghan Radden; Meghan A. Radden; Megh=n Radden
Barack Obama,politician,,188,265,29.1,0,1,Barack Obama; Barak Obama; Barack H. Obama; Barack Hussein Obama II
Richard Berman,legal,,188,195,3.6,0,0,Richard M. Berman; RICHARD M. BERMAN; Richard Berman; Richard Barryman
David Hanson,,,188,203,7.4,0,0,David Hanson; david hanson; Dr. David Hanson; DAVI HANSON
JPMorgan Chase,,,188,188,0.0,0,45,JPMorgan Chase; J.P. Morgan Chase; J.P.Morgan Chase; Che=sie
Elizabeth Hobson,,,187,187,0.0,0,0,Elizabeth Hobson; Elizabeth B. Hobson; Eli=abeth B. Hobson
Monica Gilkinson,,,187,187,0.0,0,0,Monica Gilkinson; monica.gilkinson
John Smith,,,186,206,9.7,0,0,John Smith; Jack Smith; Jack smith; JOHN SMITH
Fred Haddad,,,186,187,0.5,0,0,"Fred Haddad; FRED HADDAD; Fred Haddad, P.A."
James Peterson,associate,,185,195,5.1,0,5,James Patterson; JAMES PATTERSON; James Peterson; Jim Patterson
Randy Wright,,,185,185,0.0,0,0,Randy Wright; Randy And Diana Wright; Randy wright; randy wright
George Mitchell,politician,,184,205,10.2,0,5,"George Mitchell; george mitchell; George J. Mitchell; Mitchell, George"
Ginevra Tamberi,,,184,184,0.0,0,0,Ginevra Tamberi; Genevra Tamberi; Givevra Tamberi; Genevra Tambieri
Ying-A Wang,,,184,184,0.0,0,1,Ying-A Wang; Ying Wang; Yanping Wang; Yanqing Wang
Hemant-Kumar Rathore,,,183,183,0.0,0,0,Hemant-Kumar Rathore; Hemant Rathore; Hemant Kumar Rathore
Howard Gardner,academic,,182,182,0.0,0,3,Howard Gardner; howard gardner; HOWARD GARDNER; Gardner Howard
Laurie Cameron,,,182,184,1.1,0,1,"Laurie Cameron; laurie cameron; Cameron, Laurie; Laurie A. Cameron"
Kara Berard Rockenbach,,,182,182,0.0,0,0,Kara Berard Rockenbach; Kara Rockenbach; Kara B. Rockenbach; KARA BERARD ROKENBACH
Corina Tarnita,academic,,181,182,0.5,0,0,Corina Tarnita; Corrina Tarnita
Loretta Preska,legal,,181,191,5.2,0,0,Loretta A. Preska; Loretta Preska; LORETTA A. PRESKA; Judge Loretta A. Preska
